seller,processed date,model_colorway,size
grailcaviar,2025-04-24 00:48 (UTC),Nike SB Dunk Low Premium 'Big Money Savings' [Size 14M],"14,,"
sneakcity,2025-04-23 20:41 (UTC),Nike SB Blazer Mid Lance Mountain English,"14,,"
sneakcity,2025-04-23 20:38 (UTC),Nike Air Force 1 Low '07 LV8 - Pomegranate,"14,,"
sneakcity,2025-04-23 20:33 (UTC),Nike Air Maxx III PRM,"14,,"
coastalkix,2025-04-23 19:45 (UTC),Air Jordan 3 Cardinal Red SIZE 13 CLEAN OG ALL,"13,,"
bernkicks,2025-04-23 16:54 (UTC),Nike Dunk Low shimmer Burnt Sunrise,"8w,,"
grailed804,2025-04-23 16:46 (UTC),"(2014) Size 13M Jordan 3 Sport Blue - Preowned, Original Box","13,,"
grailed804,2025-04-23 16:42 (UTC),"Size 13M Jordan 12 Low Wolf Grey - Preowned, Original Box","13,,"
sneakerhustle,2025-04-23 07:20 (UTC),Size 6.5Y Jordan 1 Retro High OG Black Metallic Gold (GS) #4,"6.5Y,,"
sneakerhustle,2025-04-23 07:15 (UTC),Size 8 Jordan 1 Retro High OG Black Metallic Gold #3,"8,,"
sneakerhustle,2025-04-23 05:41 (UTC),SUPREME SOCKS (4PACK) #6,"6,,"
stewsshoes,2025-04-23 04:45 (UTC),Black Orange Gnarcotic SB Low Size 13 #1,"13,,"
stewsshoes,2025-04-23 04:40 (UTC),Jordan 1 Retro High Electric Orange,"8.5,,"
coastalkix,2025-04-23 03:43 (UTC),Nike Dunk Low Vintage Team Red SIZE 13 CLEAN OG ALL,"13,,"
stewsshoes,2025-04-23 03:36 (UTC),Nike Air Max 2 CB ’94 Cool Grey White,"13,,"
coastalkix,2025-04-23 03:14 (UTC),Air Jordan 4 Cool Grey SIZE 13 CLEAN OG ALL,"13,,"
540_kickz_,2025-04-23 02:42 (UTC),Air Jordan 4 craft size 13,"13,,"
theshoegameco,2025-04-23 01:55 (UTC),Jordan 4 RM White Black Neutral Grey Varsity Red (GS) SZ 6Y / 7.5W #9,"6Y,,"
woosleysshoes,2025-04-23 00:50 (UTC),SIZE 14 / JORDAN 1 CRIMSON TINT / USED,"14,,"
golmark,2025-04-22 23:52 (UTC),Jordan 1 Zoom CMFT,"13,,"
aaasoles,2025-04-22 14:24 (UTC),"Size 13 Men's 
Nike Air Jordan 3 Retro 
2016 Wool Grey 
854263-004 

*No Box*","13,,"
stewsshoes,2025-04-22 06:36 (UTC),Nike Kyrie Flytrap V White Grey,"13,,"
stewsshoes,2025-04-22 05:44 (UTC),Nuje Aur Nax 360 BB Łów Focus Pack Chlorine Blue,"13,,"
stewsshoes,2025-04-22 05:38 (UTC),Nike Epic React Flyknit Pearl Pink,"9,,"
stewsshoes,2025-04-22 05:36 (UTC),Nike Field General  Chrome Yellow,"13,,"
fragmented_soles,2025-04-22 02:08 (UTC),AIR JORDAN 12 BLACK PATENT 2011 - SIZE 13 PRE OWNED NO BOX,"13,,"
fragmented_soles,2025-04-22 00:44 (UTC),AIR JORDAN 4 LIGHTNING - SIZE 13 PRE OWNED ORIGINAL BOX,"13,,"
fragmented_soles,2025-04-22 00:31 (UTC),AIR JORDAN 4 OXIDIZED GREEN - SIZE 13 PRE OWNED ORIGINAL BOX,"13,,"
fragmented_soles,2025-04-22 00:28 (UTC),AIR JORDAN 5 RACER BLUE - SIZE 13 PRE OWNED ORIGINAL BOX,"13,,"
fragmented_soles,2025-04-22 00:26 (UTC),AIR JORDAN 14 OXIDIZED GREEN WHITE - SIZE 13 PRE OWNED NO BOX,"14,,"
fragmented_soles,2025-04-22 00:25 (UTC),NIKE DUNK LOW UNIVERSITY GREY RED - SIZE 14 BRAND NEW ORIGINAL BOX (NO LID),"14,,"
fragmented_soles,2025-04-22 00:13 (UTC),AIR JORDAN 3 PALOMINO - SIZE 13 PRE OWNED ORIGINAL BOX,"13,,"
theshoegameco,2025-04-21 15:10 (UTC),Jordan 1 Retro Low '85 Metallic Black SZ 13 #2,"13,,"
drews_solez,2025-04-21 10:37 (UTC),"Jordan 1 Mid ""Pure Money"", Size 13, Used No Box","13,,"
drews_solez,2025-04-21 09:11 (UTC),"Jordan 11 Low ""72-10"", Size 13, Lightly Used OG Box","13,,"
drews_solez,2025-04-21 09:01 (UTC),"Jordan 7 ""Barcelona Nights"", Size 13, Used (w/flaws) No Box","13,,"
drews_solez,2025-04-21 09:00 (UTC),"(2014) Jordan 6 ""Infrared Black"", Size 13, Used No Box","13,,"
clamskicks,2025-04-21 05:35 (UTC),"M 13 NIKE SB DUNK LOW ""CARHARTT SHALE""","13,,"
thatgyal,2025-04-21 05:32 (UTC),SZ 14M Nike Dunk Low Valentines Day Premium #JSDZ114 🤍❤️🩷🤍,"14,,"
